arm,seed,n_examples,slot_accuracy,exact_workspace,revisit_fraction,mean_revisit_count,terminal_trapping_fraction,integrated_activity_mass,total_integrated_exposure,workspace_update_norm,source
e2_full,17,2048,0.9322102923470084,0.775390625,0.56298828125,0.58544921875,0.94482421875,24.97640805989504,24.976411740877666,138.35437609627843,e2_full_seed17.json
e2_full,27,2048,0.8949381582278875,0.6806640625,0.65625,0.67236328125,0.833984375,25.016265206784013,25.016269543906674,141.1377035342157,e2_full_seed27.json
e2_full,37,2048,0.8152669301634887,0.66650390625,0.5498046875,0.55859375,0.96240234375,24.72268049567938,24.722684459586162,133.95743840187788,e2_full_seed37.json
e2_full,47,2048,0.978678387713444,0.921875,0.587890625,0.59326171875,0.89990234375,24.573646054789425,24.573649967409438,144.2178496737033,e2_full_seed47.json
e2_full,7,2048,0.9097493567169295,0.69775390625,0.6806640625,0.76904296875,0.93994140625,23.189655343070626,23.189658827875974,136.49025378748775,e2_full_seed7.json
e2_no_command,17,2048,0.7303059934420162,0.57275390625,0.30615234375,0.30908203125,0.837890625,30.46059158369899,30.46059627243085,171.48312540724874,e2_no_command_seed17.json
e2_no_command,27,2048,0.7377929723079433,0.5947265625,0.17236328125,0.17236328125,0.83642578125,33.318712778389454,33.318717316840775,193.2335262335837,e2_no_command_seed27.json
e2_no_command,37,2048,0.8409830768068787,0.6767578125,0.73291015625,0.7333984375,0.97119140625,25.73575149998069,25.735755337722367,130.50179934501648,e2_no_command_seed37.json
e2_no_command,47,2048,0.786539716173138,0.6650390625,0.5234375,0.5234375,0.853515625,22.293266536667943,22.29326857862179,154.66149081103504,e2_no_command_seed47.json
e2_no_command,7,2048,0.8087565133682801,0.66845703125,0.62939453125,0.64990234375,0.93212890625,28.99204771257937,28.992051512002945,170.49453884735703,e2_no_command_seed7.json
e2_no_position,17,2048,0.7934570338620688,0.662109375,0.35888671875,0.3701171875,0.818359375,39.95471774116159,39.95472070539836,191.32725129649043,e2_no_position_seed17.json
e2_no_position,27,2048,0.8145345079319668,0.66650390625,0.47314453125,0.49365234375,0.85400390625,39.4157671533525,39.41577050657361,196.68060628324747,e2_no_position_seed27.json
e2_no_position,37,2048,0.7827148467258667,0.65380859375,0.46923828125,0.50439453125,0.83837890625,37.78058525696397,37.78058820517617,190.55984130874276,e2_no_position_seed37.json
e2_no_position,47,2048,0.8250325551853166,0.66943359375,0.6826171875,0.7509765625,0.82177734375,39.6807712905109,39.680774503882276,218.53761042281985,e2_no_position_seed47.json
e2_no_position,7,2048,0.8146972686299705,0.669921875,0.69384765625,0.720703125,0.82421875,40.0681849218905,40.06818866424146,209.1720330528915,e2_no_position_seed7.json
e2_no_workspace,17,2048,0.9065755261617596,0.740234375,0.0,0.0,1.0,60.69937503039837,60.69937649113126,234.35651510208845,e2_no_workspace_seed17.json
e2_no_workspace,27,2048,0.8964843820795068,0.6953125,0.0,0.0,1.0,61.07988467216492,61.079886632971466,247.9665309637785,e2_no_workspace_seed27.json
e2_no_workspace,37,2048,0.8138020864862483,0.66455078125,0.0,0.0,1.0,63.69100192785263,63.691004500957206,242.19382183998823,e2_no_workspace_seed37.json
e2_no_workspace,47,2048,0.8091634142765542,0.66748046875,0.0,0.0,1.0,63.44033264517785,63.440335392951965,280.80816830694675,e2_no_workspace_seed47.json
e2_no_workspace,7,2048,0.8256835965948994,0.6689453125,0.0,0.0,1.0,60.636913621425634,60.636915497947484,335.4875219017267,e2_no_workspace_seed7.json
e3_generic_regularized,17,2048,0.8269043005857384,0.67236328125,0.59765625,0.62890625,0.8994140625,24.47780117765069,24.477805030182935,134.61332215741277,e3_generic_regularized_seed17.json
e3_generic_regularized,27,2048,0.8624674518650863,0.66943359375,0.7236328125,0.728515625,0.9091796875,25.132427906990053,25.132431947044097,139.89042838290334,e3_generic_regularized_seed27.json
e3_generic_regularized,37,2048,0.8223470084631117,0.66845703125,0.51513671875,0.52734375,0.962890625,24.298918334394696,24.298922073299764,131.88726672157645,e3_generic_regularized_seed37.json
e3_generic_regularized,47,2048,0.9011230548057938,0.677734375,0.65625,0.66650390625,0.88330078125,24.316545056924227,24.316549242008477,151.2841758634895,e3_generic_regularized_seed47.json
e3_generic_regularized,7,2048,0.9817708353803027,0.93115234375,0.513671875,0.5244140625,0.94287109375,24.27503288909793,24.275036717852345,139.7118065431714,e3_generic_regularized_seed7.json
