run,seed,gain,delay,coupling,matched_excess_score,functional_tail_range_excess_over_control,artifact_range_tail_excess_over_control,debt_range_tail_excess_over_control,risk_range_tail_excess_over_control,prediction_error_range_tail_excess_over_control,switch_rate,role_entropy_bits,matched_linear_run,matched_shuffled_run
appraisal_seed17_g5_d3_c0p6,17,5.0,3,0.6,0.38334197606494674,0.3459015184257235,0.07795136659856527,0.09941568578095461,0.19878559791290495,-0.03025113186670117,0.1062124248496994,1.9836837865174939,linear_seed17_g5_d3_c0p6,shuffled_seed17_g5_d3_c0p6
appraisal_seed11_g5_d0_c0p6,11,5.0,0,0.6,0.20419970025171916,0.18586334676490956,0.041582915411884414,0.08387492357706383,0.09333312487276169,-0.03292761709680031,0.10420841683366733,1.9692882835032983,linear_seed11_g5_d0_c0p6,shuffled_seed11_g5_d0_c0p6
appraisal_seed11_g5_d0_c0p35,11,5.0,0,0.35,0.13643847699603562,0.12523010571172666,0.026638484355422598,0.049437210703316414,0.07179814090432945,-0.02264373025134206,0.08216432865731463,1.9721953862542585,linear_seed11_g5_d0_c0p35,shuffled_seed11_g5_d0_c0p35
appraisal_seed7_g5_d0_c0p6,7,5.0,0,0.6,0.1153244046160799,0.08832928542001639,0.05900210696617536,0.04567002042319901,0.015579117459872394,-0.03192195942923087,0.11623246492985972,1.9739377739011712,linear_seed7_g5_d0_c0p6,shuffled_seed7_g5_d0_c0p6
appraisal_seed17_g5_d0_c0p6,17,5.0,0,0.6,0.1121542512305652,0.10668009539074408,0.014060664041383952,0.06969185825412316,0.05479183514886943,-0.03186426205363263,0.1062124248496994,1.983013654418861,linear_seed17_g5_d0_c0p6,shuffled_seed17_g5_d0_c0p6
appraisal_seed11_g5_d3_c0p6,11,5.0,3,0.6,0.07063303512333831,0.06957558697077082,0.006119921833181219,0.04521010507332479,0.04191451300429794,-0.023668952940033128,0.10821643286573146,1.9760864923461448,linear_seed11_g5_d3_c0p6,shuffled_seed11_g5_d3_c0p6
appraisal_seed17_g5_d3_c0p35,17,5.0,3,0.35,0.06577383729370001,0.05112793125279125,0.029291812081817525,0.010121001350033021,0.028543390530580748,-0.01682827270963999,0.10020040080160321,1.993595804528126,linear_seed17_g5_d3_c0p35,shuffled_seed17_g5_d3_c0p35
