c1,c2,spectral_radius,rho_bar,lyapunov_condition,log10_lyapunov_condition,damping_regime
-1.95,-0.98,0.9899494936611665,0.999,128.77744566990825,2.1098398065111477,underdamped
-1.9175,-0.98,0.9899494936611667,0.999,61.30011235422329,1.7874612705179986,underdamped
-1.885,-0.98,0.9899494936611665,0.999,40.00053047184962,1.6020657508146994,underdamped
-1.8525,-0.98,0.9899494936611664,0.999,29.561033557681203,1.4707196144504802,underdamped
-1.8199999999999998,-0.98,0.9899494936611666,0.999,23.362970571786615,1.3685280619383962,underdamped
-1.7874999999999999,-0.98,0.9899494936611666,0.999,19.257870495608334,1.2846082618571646,underdamped
-1.755,-0.98,0.9899494936611665,0.999,16.338706061630553,1.2132176597517872,underdamped
-1.7225,-0.98,0.9899494936611666,0.999,14.156400507682259,1.1509528410392158,underdamped
-1.69,-0.98,0.9899494936611664,0.999,12.463200549844471,1.0956295834666223,underdamped
-1.6575,-0.98,0.9899494936611667,0.999,11.111228337192344,1.045762072494124,underdamped
-1.625,-0.98,0.9899494936611661,0.999,10.006761374774154,1.0002935435487315,underdamped
-1.5924999999999998,-0.98,0.9899494936611665,0.999,9.0875210985377,0.9584454321716733,underdamped
-1.56,-0.98,0.9899494936611666,0.999,8.310506518009225,0.9196274944546914,underdamped
-1.5274999999999999,-0.98,0.9899494936611664,0.999,7.6450710399867905,0.8833815253442727,underdamped
-1.4949999999999999,-0.98,0.9899494936611665,0.999,7.068782946533105,0.8493446464554446,underdamped
-1.4625,-0.98,0.9899494936611665,0.999,6.564845750212159,0.8172245262185377,underdamped
-1.43,-0.98,0.9899494936611666,0.999,6.120433182310954,0.7867821610392886,underdamped
-1.3975,-0.98,0.9899494936611665,0.999,5.725581585212724,0.7578196074171893,underdamped
-1.365,-0.98,0.9899494936611665,0.999,5.372433508331846,0.7301710491717139,underdamped
-1.3325,-0.98,0.9899494936611666,0.999,5.054709108145985,0.7036961675705212,underdamped
-1.2999999999999998,-0.98,0.9899494936611666,0.999,4.767329136330175,0.6782751366464704,underdamped
-1.2675,-0.98,0.9899494936611665,0.999,4.50614111289394,0.6538047878297938,underdamped
-1.2349999999999999,-0.98,0.9899494936611665,0.999,4.267717174012179,0.630195630565978,underdamped
-1.2025,-0.98,0.9899494936611666,0.999,4.049202621709788,0.6073695093662759,underdamped
-1.17,-0.98,0.9899494936611666,0.999,3.8482009347431143,0.5852577407493096,underdamped
-1.1375,-0.98,0.9899494936611665,0.999,3.66268539486622,0.5637996166876517,underdamped
-1.105,-0.98,0.9899494936611664,0.999,3.4909304083496617,0.5429411912458669,underdamped
-1.0724999999999998,-0.98,0.9899494936611664,0.999,3.331457585292786,0.5226342883859187,underdamped
-1.04,-0.98,0.9899494936611664,0.999,3.1829930049835182,0.5028356842068036,underdamped
-1.0074999999999998,-0.98,0.9899494936611667,0.999,3.044433050498985,0.48350642801492816,underdamped
-0.9749999999999999,-0.98,0.9899494936611667,0.999,2.914816872746207,0.4646112748226207,underdamped
-0.9424999999999999,-0.98,0.9899494936611667,0.999,2.7933040302801238,0.44611820798421914,underdamped
-0.9099999999999999,-0.98,0.9899494936611665,0.999,2.6791562044824864,0.42799803528313685,underdamped
-0.8775,-0.98,0.9899494936611664,0.999,2.571722149215487,0.4102240452860648,underdamped
-0.845,-0.98,0.9899494936611666,0.999,2.470425226715862,0.3927717134708776,underdamped
-0.8125,-0.98,0.9899494936611666,0.999,2.3747530258880185,0.37561844972033703,underdamped
-0.78,-0.98,0.9899494936611666,0.999,2.2842486683621517,0.35874338040524195,underdamped
-0.7474999999999998,-0.98,0.9899494936611664,0.999,2.198503490988267,0.34212715956943307,underdamped
-0.7149999999999999,-0.98,0.9899494936611666,0.999,2.117150857500922,0.32575180475817345,underdamped
-0.6824999999999999,-0.98,0.9899494936611667,0.999,2.0398609017423,0.30960055386443686,underdamped
-0.6499999999999999,-0.98,0.9899494936611668,0.999,1.9663360436091477,0.2936577400545129,underdamped
-0.6174999999999999,-0.98,0.9899494936611666,0.999,1.8963071494098958,0.2779086824167303,underdamped
-0.585,-0.98,0.9899494936611666,0.999,1.8295302325420093,0.2623395904925822,underdamped
-0.5525,-0.98,0.9899494936611666,0.999,1.7657836098187896,0.2469374813368661,underdamped
-0.5199999999999998,-0.98,0.9899494936611667,0.999,1.704865444556082,0.23169010825943587,underdamped
-0.4874999999999998,-0.98,0.9899494936611664,0.999,1.6465916206286924,0.21658590099170452,underdamped
-0.45499999999999985,-0.98,0.9899494936611665,0.999,1.590793902981739,0.20161391780145776,underdamped
-0.4224999999999999,-0.98,0.9899494936611668,0.999,1.5373183504304642,0.1867638112336053,underdamped
-0.3899999999999999,-0.98,0.9899494936611664,0.999,1.4860239571594738,0.1720258110250225,underdamped
-0.35749999999999993,-0.98,0.9899494936611665,0.999,1.436781511981779,0.15739073100477616,underdamped
-0.32499999999999996,-0.98,0.9899494936611665,0.999,1.3894726826053942,0.14285001285476592,underdamped
-0.2925,-0.98,0.9899494936611666,0.999,1.343989363212816,0.12839583157773254,underdamped
-0.26,-0.98,0.9899494936611665,0.999,1.3002333845987142,0.11402131272704774,underdamped
-0.2274999999999998,-0.98,0.9899494936611665,0.999,1.2581168200483552,0.09972096857100274,underdamped
-0.19499999999999984,-0.98,0.9899494936611665,0.999,1.2175634475631492,0.0854916016801882,underdamped
-0.16249999999999987,-0.98,0.9899494936611665,0.999,1.178512828831433,0.07133431444657591,underdamped
-0.1299999999999999,-0.98,0.9899494936611666,0.999,1.1409313219136363,0.057259502953168784,underdamped
-0.09749999999999992,-0.98,0.9899494936611667,0.999,1.1048453444482274,0.04330149000896479,underdamped
-0.06499999999999995,-0.98,0.9899494936611666,0.999,1.0704682457729078,0.029573788968015508,underdamped
-0.03249999999999997,-0.98,0.9899494936611667,0.999,1.0389392966648177,0.016590173261063344,underdamped
2.220446049250313e-16,-0.98,0.9899494936611666,0.999,1.020220577910244,0.008694079029258322,underdamped
0.032500000000000195,-0.98,0.9899494936611667,0.999,1.038939296664818,0.01659017326106353,underdamped
0.06500000000000017,-0.98,0.9899494936611665,0.999,1.0704682457729082,0.02957378896801569,underdamped
0.09749999999999992,-0.98,0.9899494936611667,0.999,1.1048453444482274,0.04330149000896479,underdamped
0.13000000000000012,-0.98,0.9899494936611665,0.999,1.1409313219136366,0.05725950295316887,underdamped
0.1625000000000003,-0.98,0.9899494936611662,0.999,1.1785128288314333,0.071334314446576,underdamped
0.19500000000000006,-0.98,0.9899494936611665,0.999,1.2175634475631496,0.08549160168018836,underdamped
0.22750000000000026,-0.98,0.9899494936611662,0.999,1.2581168200483555,0.09972096857100281,underdamped
0.26,-0.98,0.9899494936611665,0.999,1.3002333845987142,0.11402131272704774,underdamped
0.2925000000000002,-0.98,0.9899494936611668,0.999,1.3439893632128166,0.12839583157773277,underdamped
0.32499999999999996,-0.98,0.9899494936611665,0.999,1.3894726826053942,0.14285001285476592,underdamped
0.35750000000000015,-0.98,0.9899494936611665,0.999,1.436781511981779,0.15739073100477616,underdamped
0.3899999999999999,-0.98,0.9899494936611664,0.999,1.4860239571594738,0.1720258110250225,underdamped
0.4225000000000001,-0.98,0.9899494936611665,0.999,1.5373183504304644,0.18676381123360536,underdamped
0.4550000000000003,-0.98,0.9899494936611666,0.999,1.5907939029817402,0.20161391780145807,underdamped
0.48750000000000004,-0.98,0.9899494936611666,0.999,1.646591620628693,0.21658590099170472,underdamped
0.5200000000000002,-0.98,0.9899494936611666,0.999,1.704865444556083,0.2316901082594361,underdamped
0.5525,-0.98,0.9899494936611666,0.999,1.7657836098187896,0.2469374813368661,underdamped
0.5850000000000002,-0.98,0.9899494936611665,0.999,1.82953023254201,0.2623395904925824,underdamped
