trajectory_index,seed,method,rank,dimension,lag,k,validation_vamp2,test_log_loss_bits_per_symbol,test_perplexity,minimum_block_surrogate_margin_bits,block_metrics_json
2,303,vamp,3,3,1,8,2.982695012602349,0.6145526229795216,1.5310831374685567,13.0,"{""16"": {""margin_bits"": 13.0, ""surrogate_gain_bits"": [582.8408873456833, 583.8408873456832, 587.8408873456832, 577.8408873456833, 583.8408873456833, 579.8408873456832, 579.8408873456834, 579.8408873456832, 582.8408873456833, 583.8408873456832, 583.8408873456832, 587.8408873456832, 585.8408873456832, 583.8408873456832, 579.8408873456832, 585.8408873456832, 579.8408873456833, 579.8408873456832, 587.8408873456832, 579.8408873456832], ""surrogate_gain_bits_mean"": 582.8408873456832}, ""4"": {""margin_bits"": 17.199999999999932, ""surrogate_gain_bits"": [579.8408873456832, 573.8408873456833, 573.8408873456832, 582.8408873456833, 579.8408873456833, 579.8408873456832, 579.8408873456834, 579.8408873456833, 576.8408873456832, 576.8408873456833, 579.8408873456834, 579.8408873456832, 576.8408873456832, 576.8408873456834, 582.8408873456832, 576.8408873456833, 579.8408873456832, 579.8408873456833, 576.8408873456832, 579.8408873456832], ""surrogate_gain_bits_mean"": 578.6408873456833}}"
2,303,vamp,3,3,1,16,2.982695012602349,1.0503393159275891,2.071016885041643,3.9000000000002046,"{""16"": {""margin_bits"": 3.9000000000002046, ""surrogate_gain_bits"": [773.3932437175268, 770.3932437175266, 770.3932437175268, 764.3932437175266, 773.3932437175266, 770.3932437175266, 773.3932437175268, 773.3932437175268, 766.3932437175268, 773.3932437175266, 770.3932437175266, 770.3932437175268, 767.3932437175268, 770.3932437175266, 770.3932437175268, 767.3932437175268, 773.3932437175268, 767.3932437175266, 770.3932437175266, 773.3932437175266], ""surrogate_gain_bits_mean"": 770.4932437175266}, ""4"": {""margin_bits"": 8.500000000000227, ""surrogate_gain_bits"": [764.3932437175266, 761.3932437175266, 761.3932437175266, 767.3932437175268, 764.3932437175266, 764.3932437175266, 764.3932437175268, 773.3932437175266, 761.3932437175268, 761.3932437175266, 764.3932437175266, 767.3932437175266, 770.3932437175266, 767.3932437175266, 764.3932437175266, 764.3932437175266, 773.3932437175268, 773.3932437175268, 764.3932437175268, 764.3932437175266], ""surrogate_gain_bits_mean"": 765.8932437175266}}"
2,303,tica,10,3,1,8,2.9826950126026848,0.6145356976779374,1.5310651753274873,13.0,"{""16"": {""margin_bits"": 13.0, ""surrogate_gain_bits"": [582.8408873456833, 583.8408873456832, 587.8408873456832, 577.8408873456833, 583.8408873456833, 579.8408873456832, 579.8408873456834, 579.8408873456832, 582.8408873456833, 583.8408873456832, 583.8408873456832, 587.8408873456832, 585.8408873456832, 583.8408873456832, 579.8408873456832, 585.8408873456832, 579.8408873456833, 579.8408873456832, 587.8408873456832, 579.8408873456832], ""surrogate_gain_bits_mean"": 582.8408873456832}, ""4"": {""margin_bits"": 17.199999999999932, ""surrogate_gain_bits"": [579.8408873456832, 573.8408873456833, 573.8408873456832, 582.8408873456833, 579.8408873456833, 579.8408873456832, 579.8408873456834, 579.8408873456833, 576.8408873456832, 576.8408873456833, 579.8408873456834, 579.8408873456832, 576.8408873456832, 576.8408873456834, 582.8408873456832, 576.8408873456833, 579.8408873456832, 579.8408873456833, 576.8408873456832, 579.8408873456832], ""surrogate_gain_bits_mean"": 578.6408873456833}}"
2,303,tica,10,3,1,16,2.9826950126026848,1.048852804247215,2.0688840675013203,4.599999999999795,"{""16"": {""margin_bits"": 4.599999999999795, ""surrogate_gain_bits"": [776.5635488728111, 773.5635488728109, 770.5635488728109, 765.5635488728109, 776.5635488728109, 773.5635488728109, 773.5635488728109, 776.5635488728109, 769.5635488728109, 776.5635488728109, 773.5635488728109, 770.5635488728109, 770.5635488728111, 773.5635488728109, 773.5635488728109, 770.5635488728109, 776.5635488728111, 767.5635488728109, 773.5635488728109, 776.5635488728109], ""surrogate_gain_bits_mean"": 772.9635488728111}, ""4"": {""margin_bits"": 9.699999999999932, ""surrogate_gain_bits"": [767.5635488728109, 764.5635488728109, 764.5635488728109, 770.5635488728109, 764.5635488728109, 764.5635488728109, 764.5635488728109, 776.5635488728109, 761.5635488728109, 764.5635488728109, 764.5635488728109, 767.5635488728109, 770.5635488728109, 770.5635488728109, 767.5635488728109, 767.5635488728109, 776.5635488728109, 776.5635488728109, 767.5635488728109, 764.5635488728109], ""surrogate_gain_bits_mean"": 767.863548872811}}"
2,303,pca_lift_kmeans,3,3,,8,,0.5428050935355712,1.4568022882652945,7.300000000000296,"{""16"": {""margin_bits"": 7.300000000000296, ""surrogate_gain_bits"": [566.5128211227519, 566.5128211227519, 566.5128211227519, 562.5128211227519, 566.5128211227519, 566.5128211227519, 566.5128211227519, 570.5128211227519, 566.5128211227519, 565.5128211227519, 570.5128211227519, 566.5128211227519, 571.5128211227518, 568.5128211227519, 568.5128211227519, 571.5128211227519, 565.5128211227519, 562.5128211227519, 566.5128211227519, 568.5128211227519], ""surrogate_gain_bits_mean"": 567.2128211227516}, ""4"": {""margin_bits"": 10.95000000000016, ""surrogate_gain_bits"": [562.5128211227519, 559.5128211227519, 559.5128211227519, 568.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 565.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 559.5128211227519, 562.5128211227519, 571.5128211227519, 568.5128211227519, 565.5128211227519, 565.5128211227519, 562.5128211227519, 562.5128211227519], ""surrogate_gain_bits_mean"": 563.5628211227518}}"
2,303,pca_lift_kmeans,3,3,,16,,0.952287129050619,1.9349377174221014,9.0,"{""16"": {""margin_bits"": 9.0, ""surrogate_gain_bits"": [764.6913231456559, 768.6913231456562, 772.6913231456562, 766.6913231456559, 768.6913231456562, 766.6913231456562, 766.6913231456562, 766.6913231456562, 766.6913231456562, 768.6913231456562, 768.6913231456562, 768.6913231456562, 764.6913231456559, 764.6913231456562, 766.6913231456562, 768.6913231456562, 772.6913231456562, 768.6913231456559, 768.6913231456562, 764.6913231456559], ""surrogate_gain_bits_mean"": 767.6913231456562}, ""4"": {""margin_bits"": 11.5, ""surrogate_gain_bits"": [766.6913231456562, 766.6913231456562, 766.6913231456562, 760.6913231456562, 766.6913231456562, 766.6913231456559, 763.6913231456559, 763.6913231456559, 766.6913231456562, 766.6913231456559, 766.6913231456562, 766.6913231456562, 763.6913231456562, 766.6913231456562, 760.6913231456562, 763.6913231456562, 763.6913231456562, 763.6913231456562, 766.6913231456562, 766.6913231456559], ""surrogate_gain_bits_mean"": 765.1913231456562}}"
2,303,pca_lift_kmeans,10,10,,8,,0.5428050935355712,1.4568022882652945,7.300000000000296,"{""16"": {""margin_bits"": 7.300000000000296, ""surrogate_gain_bits"": [566.5128211227519, 566.5128211227519, 566.5128211227519, 562.5128211227519, 566.5128211227519, 566.5128211227519, 566.5128211227519, 570.5128211227519, 566.5128211227519, 565.5128211227519, 570.5128211227519, 566.5128211227519, 571.5128211227518, 568.5128211227519, 568.5128211227519, 571.5128211227519, 565.5128211227519, 562.5128211227519, 566.5128211227519, 568.5128211227519], ""surrogate_gain_bits_mean"": 567.2128211227516}, ""4"": {""margin_bits"": 10.95000000000016, ""surrogate_gain_bits"": [562.5128211227519, 559.5128211227519, 559.5128211227519, 568.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 565.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 559.5128211227519, 562.5128211227519, 571.5128211227519, 568.5128211227519, 565.5128211227519, 565.5128211227519, 562.5128211227519, 562.5128211227519], ""surrogate_gain_bits_mean"": 563.5628211227518}}"
2,303,pca_lift_kmeans,10,10,,16,,0.952287129050619,1.9349377174221014,9.0,"{""16"": {""margin_bits"": 9.0, ""surrogate_gain_bits"": [764.6913231456559, 768.6913231456562, 772.6913231456562, 766.6913231456559, 768.6913231456562, 766.6913231456562, 766.6913231456562, 766.6913231456562, 766.6913231456562, 768.6913231456562, 768.6913231456562, 768.6913231456562, 764.6913231456559, 764.6913231456562, 766.6913231456562, 768.6913231456562, 772.6913231456562, 768.6913231456559, 768.6913231456562, 764.6913231456559], ""surrogate_gain_bits_mean"": 767.6913231456562}, ""4"": {""margin_bits"": 11.5, ""surrogate_gain_bits"": [766.6913231456562, 766.6913231456562, 766.6913231456562, 760.6913231456562, 766.6913231456562, 766.6913231456559, 763.6913231456559, 763.6913231456559, 766.6913231456562, 766.6913231456559, 766.6913231456562, 766.6913231456562, 763.6913231456562, 766.6913231456562, 760.6913231456562, 763.6913231456562, 763.6913231456562, 763.6913231456562, 766.6913231456562, 766.6913231456559], ""surrogate_gain_bits_mean"": 765.1913231456562}}"
2,303,direct_xyz_kmeans,,3,,8,,0.5428050935355712,1.4568022882652945,7.300000000000296,"{""16"": {""margin_bits"": 7.300000000000296, ""surrogate_gain_bits"": [566.5128211227519, 566.5128211227519, 566.5128211227519, 562.5128211227519, 566.5128211227519, 566.5128211227519, 566.5128211227519, 570.5128211227519, 566.5128211227519, 565.5128211227519, 570.5128211227519, 566.5128211227519, 571.5128211227518, 568.5128211227519, 568.5128211227519, 571.5128211227519, 565.5128211227519, 562.5128211227519, 566.5128211227519, 568.5128211227519], ""surrogate_gain_bits_mean"": 567.2128211227516}, ""4"": {""margin_bits"": 10.95000000000016, ""surrogate_gain_bits"": [562.5128211227519, 559.5128211227519, 559.5128211227519, 568.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 565.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 562.5128211227519, 559.5128211227519, 562.5128211227519, 571.5128211227519, 568.5128211227519, 565.5128211227519, 565.5128211227519, 562.5128211227519, 562.5128211227519], ""surrogate_gain_bits_mean"": 563.5628211227518}}"
2,303,direct_xyz_kmeans,,3,,16,,0.9527456739971926,1.9355528141018392,6.900000000000205,"{""16"": {""margin_bits"": 6.900000000000205, ""surrogate_gain_bits"": [765.5438512803106, 765.5438512803108, 769.5438512803108, 765.5438512803106, 765.5438512803108, 765.5438512803106, 767.5438512803108, 767.5438512803108, 763.5438512803108, 769.5438512803108, 769.5438512803108, 767.5438512803108, 765.5438512803106, 765.5438512803108, 767.5438512803108, 765.5438512803108, 769.5438512803108, 765.5438512803106, 765.5438512803106, 765.5438512803106], ""surrogate_gain_bits_mean"": 766.6438512803106}, ""4"": {""margin_bits"": 9.750000000000227, ""surrogate_gain_bits"": [767.5438512803108, 767.5438512803108, 767.5438512803108, 761.5438512803108, 761.5438512803108, 764.5438512803108, 761.5438512803106, 761.5438512803106, 761.5438512803108, 767.5438512803106, 761.5438512803108, 761.5438512803106, 764.5438512803108, 767.5438512803108, 761.5438512803108, 764.5438512803108, 761.5438512803108, 761.5438512803108, 767.5438512803108, 761.5438512803106], ""surrogate_gain_bits_mean"": 763.7938512803106}}"
