k,method,n,test_log_loss_mean,test_log_loss_sd,minimum_margin_mean_bits,minimum_margin_sd_bits
8,vamp,3,0.5099623810095145,0.09372462333092996,7.799999999999916,4.503332099679153
8,tica,3,0.512859213499708,0.09023749221405059,7.2499999999999245,5.04752414555898
8,pca_lift_kmeans,6,0.4618066663920579,0.06276059968741302,5.499999999999962,1.632789024951108
8,direct_xyz_kmeans,3,0.47015791750249586,0.06451352589234667,5.433333333333394,1.8264263832233478
16,vamp,3,0.8508672335142972,0.17386772128896913,4.150000000000091,0.2179449471769528
16,tica,3,0.8511666069630294,0.17247152736799973,4.11666666666675,0.5965176722722353
16,pca_lift_kmeans,6,0.7966474297492095,0.12079038798929004,4.883333333333288,3.1951004157407663
16,direct_xyz_kmeans,3,0.7968002780647341,0.13531199198030308,4.183333333333356,2.3634367631341404
