future_step,true_curvature,predicted_center,predicted_lower,predicted_upper,true_edge_utilization,center_edge_utilization,upper_edge_utilization
0,12.015891739556864,11.992855954182282,11.946377970354805,12.03933393800976,0.967946834575414,0.966091174086906,0.9698352338952305
1,12.043891739556864,12.01914962854666,11.899899986527327,12.162824403762302,0.9702023901309695,0.9682092756329254,0.9797830769697409
2,12.071891739556865,12.045443302911039,11.85342200269985,12.286314869514845,0.9724579456865251,0.9703273771789447,0.9897309200442512
3,12.099891739556865,12.071736977275418,11.806944018872372,12.409805335267388,0.9747135012420807,0.9724454787249641,0.9996787631187616
4,12.127891739556866,12.098030651639796,11.760466035044894,12.53329580101993,0.9769690567976363,0.9745635802709834,1.0096266061932722
5,12.155891739556866,12.124324326004174,11.713988051217417,12.656786266772473,0.9792246123531918,0.9766816818170028,1.0195744492677825
6,12.183891739556866,12.150618000368553,11.667510067389939,12.780276732525016,0.9814801679087475,0.9787997833630223,1.0295222923422929
7,12.211891739556867,12.176911674732931,11.621032083562461,12.903767198277558,0.983735723464303,0.9809178849090416,1.0394701354168032
8,12.239891739556867,12.20320534909731,11.574554099734984,13.0272576640301,0.9859912790198587,0.983035986455061,1.0494179784913136
9,12.267891739556868,12.229499023461688,11.528076115907506,13.150748129782643,0.9882468345754142,0.9851540880010804,1.059365821565824
10,12.295891739556868,12.255792697826067,11.481598132080029,13.274238595535186,0.9905023901309699,0.9872721895470997,1.0693136646403343
11,12.323891739556869,12.282086372190445,11.435120148252551,13.397729061287729,0.9927579456865254,0.989390291093119,1.0792615077148446
12,12.35189173955687,12.308380046554824,11.388642164425073,13.521219527040271,0.9950135012420811,0.9915083926391384,1.089209350789355
13,12.37989173955687,12.334673720919202,11.342164180597596,13.644709992792814,0.9972690567976366,0.9936264941851579,1.0991571938638653
14,12.40789173955687,12.36096739528358,11.295686196770118,13.768200458545357,0.9995246123531922,0.9957445957311772,1.109105036938376
15,12.43589173955687,12.387261069647959,11.24920821294264,13.8916909242979,1.0017801679087477,0.9978626972771966,1.119052880012886
16,12.461200125678845,12.413554744012337,11.202730229115163,14.015181390050442,1.003818899013018,0.999980798823216,1.1290007230873966
17,12.483425950371162,12.439848418376716,11.156252245287686,14.138671855802984,1.005609312668788,1.0020989003692353,1.138948566161907
18,12.502944669615955,12.463328818840846,11.109774261460208,14.262162321555527,1.0071816539412852,1.0039903770732903,1.1488964092364173
