method,seed,embedding_dim,microstates,lag,backend,trajectory_sha256,intrinsic_participation_ratio,intrinsic_suggested_dimension,symbol_count,unique_symbols,rules_learned,categories_learned,exact_reconstruction,score_total_proxy_units,real_gain_bits_proxy,surrogate_gain_bits_proxy_mean,real_minus_shuffled_bits_proxy,heldout_log_loss_bits_per_symbol,heldout_perplexity,heldout_evaluated_symbols,fit_wall_time_seconds,configuration_wall_time_seconds,singular_values,timescales,cumulative_kinetic_variance,numerical_warnings
deeptime_vamp_kmeans,101,3,8,1,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,8,2,0,True,169.8,399.9248465215325,387.4248465215325,12.5,1.7194297871871238,3.2930622572736894,58,0.11267884005792439,2.0842625121586025,"[1.0000000000000089, 0.9999999999999762, 0.9999646317546044]","[-112589990684262.9, 42089716143649.0, 28273.449943226755]","[0.020142175543648087, 0.040284351087294855, 0.06042510186932384]",[]
deeptime_vamp_kmeans,101,3,8,3,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,8,2,0,True,170.8,378.6399571351371,370.139957135137,8.500000000000057,2.355377651552656,5.117281690951679,58,0.08130636485293508,1.3921836309600621,"[1.0000000000116833, 1.0000000000025675, 1.0000000000000389]","[-256776305798.324, -1168450997330.1768, -77204565040638.58]","[0.02016816384395664, 0.04033632768754558, 0.06050449153103253]",[]
deeptime_vamp_kmeans,101,3,16,1,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,16,2,0,True,180.8,572.5258507065123,563.0258507065125,9.499999999999773,3.2777719896537367,9.698569623556962,58,0.08108981791883707,0.7656361220870167,"[1.0000000000000089, 0.9999999999999762, 0.9999646317546044]","[-112589990684262.9, 42089716143649.0, 28273.449943226755]","[0.020142175543648087, 0.040284351087294855, 0.06042510186932384]",[]
deeptime_vamp_kmeans,101,3,16,3,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,16,2,0,True,183.8,550.4169949025786,545.9169949025787,4.499999999999886,3.8198447664736044,14.12172836542964,58,0.0639769840054214,0.6869184989482164,"[1.0000000000116833, 1.0000000000025675, 1.0000000000000389]","[-256776305798.324, -1168450997330.1768, -77204565040638.58]","[0.02016816384395664, 0.04033632768754558, 0.06050449153103253]",[]
deeptime_vamp_kmeans,101,3,24,1,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,24,2,0,True,184.8,668.5507122066385,662.5507122066385,6.0,4.05383132143831,16.608286389776328,58,0.08655144600197673,0.5714117831084877,"[1.0000000000000089, 0.9999999999999762, 0.9999646317546044]","[-112589990684262.9, 42089716143649.0, 28273.449943226755]","[0.020142175543648087, 0.040284351087294855, 0.06042510186932384]",[]
deeptime_vamp_kmeans,101,3,24,3,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,24,2,0,True,187.8,653.4066317213396,650.4066317213396,3.0,4.377806133898037,20.789831121011495,58,0.06708773202262819,0.4931391328573227,"[1.0000000000116833, 1.0000000000025675, 1.0000000000000389]","[-256776305798.324, -1168450997330.1768, -77204565040638.58]","[0.02016816384395664, 0.04033632768754558, 0.06050449153103253]",[]
deeptime_vamp_kmeans,101,5,8,1,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,8,2,0,True,170.8,382.4797180928237,371.97971809282365,10.500000000000057,1.9203764830727867,3.7852182416933653,58,0.1240636738948524,1.175875550834462,"[1.0000000000000089, 0.9999999999999762, 0.9999646317546044, 0.9999391217178527, 0.9993602314122815]","[-112589990684262.9, 42089716143649.0, 28273.449943226755, 16425.719078779086, 1562.5651224164103]","[0.020142175543648087, 0.040284351087294855, 0.06042510186932384, 0.08056482504553018, 0.10068123617104555]",[]
deeptime_vamp_kmeans,101,5,8,3,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,8,2,0,True,169.8,379.34067610095525,367.3406761009553,11.999999999999943,2.2306029290354092,4.693300804646697,58,0.08378693298436701,0.6371127790771425,"[1.0000000000116833, 1.0000000000025675, 1.0000000000000389, 1.0000000000000002, 0.9999999999952158]","[-256776305798.324, -1168450997330.1768, -77204565040638.58, -1.351079888211149e+16, 627067617287.625]","[0.02016816384395664, 0.04033632768754558, 0.06050449153103253, 0.08067265537451791, 0.10084081921781032]",[]
deeptime_vamp_kmeans,101,5,16,1,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,16,2,0,True,187.8,565.110262221383,562.6102622213831,2.4999999999998863,3.631353503324888,12.39214051779336,58,0.0718146339058876,0.5637914580293,"[1.0000000000000089, 0.9999999999999762, 0.9999646317546044, 0.9999391217178527, 0.9993602314122815]","[-112589990684262.9, 42089716143649.0, 28273.449943226755, 16425.719078779086, 1562.5651224164103]","[0.020142175543648087, 0.040284351087294855, 0.06042510186932384, 0.08056482504553018, 0.10068123617104555]",[]
deeptime_vamp_kmeans,101,5,16,3,deeptime,8d53e241564a6c96d89f812d2836d83fe82de809d6af817f1aa93e9856d6648a,3.4859510567063796,139,192,16,2,0,True,184.8,563.1061841885091,559.1061841885094,3.9999999999997726,3.504913562270954,11.352306666351357,58,0.07864155387505889,0.6385090411640704,"[1.0000000000116833, 1.0000000000025675, 1.0000000000000389, 1.0000000000000002, 0.9999999999952158]","[-256776305798.324, -1168450997330.1768, -77204565040638.58, -1.351079888211149e+16, 627067617287.625]","[0.02016816384395664, 0.04033632768754558, 0.06050449153103253, 0.08067265537451791, 0.10084081921781032]",[]
