method,embedding_dim,microstates,lag,n,all_positive_real_minus_shuffled,real_minus_shuffled_bits_proxy_mean,real_minus_shuffled_bits_proxy_std,real_minus_shuffled_bits_proxy_min,real_minus_shuffled_bits_proxy_max,real_minus_shuffled_bits_proxy_ci95_low,real_minus_shuffled_bits_proxy_ci95_high,heldout_perplexity_mean,heldout_perplexity_std,heldout_perplexity_min,heldout_perplexity_max,heldout_perplexity_ci95_low,heldout_perplexity_ci95_high
deeptime_vamp_kmeans,3,16,1,3,True,9.500000000000076,1.0,8.500000000000227,10.500000000000227,8.36839347238841,10.631606527611742,8.826400169436281,3.882921463093952,4.5815663798844515,12.199064504867431,4.432460895595722,13.220339443276842
deeptime_vamp_kmeans,3,16,3,3,True,6.333333333333182,1.7559422921420207,4.499999999999886,7.999999999999659,4.34629757343588,8.320369093230484,12.299649868951198,3.062312340696304,8.764152707830913,14.12172836542964,8.834317234633499,15.764982503268897
deeptime_vamp_kmeans,3,24,1,3,True,5.000000000000114,1.0,4.0,6.0,3.868393472388447,6.13160652761178,16.504796116737502,4.484238667841289,11.96970805861341,20.93639390182277,11.430402368839655,21.57918986463535
deeptime_vamp_kmeans,3,24,3,3,True,3.16666666666678,1.2583057392117465,2.0000000000002274,4.500000000000114,1.7427596784435446,4.590573654890016,20.2869328107424,4.028720672852136,16.030373141900082,24.040594169315625,15.728006199418857,24.845859422065942
deeptime_vamp_kmeans,3,8,1,3,True,16.99999999999996,6.946221994724837,12.5,24.999999999999886,9.139609848529604,24.86039015147032,3.7241474075700616,2.0790472968526146,1.8944364880517233,5.984943477384771,1.3714839152382527,6.07681089990187
deeptime_vamp_kmeans,3,8,3,3,True,9.833333333333352,5.131601439446821,5.500000000000057,15.499999999999943,4.026379647353905,15.640287019312797,4.835059902494593,1.3860894446558805,3.3295784225465734,6.058319593985528,3.266552039068369,6.403567765920817
deeptime_vamp_kmeans,5,16,1,3,True,3.6666666666666665,1.2583057392118369,2.4999999999998863,5.0,2.2427596784433286,5.0905736548900045,11.734971956531995,0.5691659070604111,11.399536301794509,12.39214051779336,11.090900100808419,12.37904381225557
deeptime_vamp_kmeans,5,16,3,3,True,5.166666666666591,1.258305739211897,3.9999999999997726,6.5,3.7427596784431847,6.5905736548899965,11.992181707353192,0.7498348878913365,11.352306666351357,12.817265056329598,11.143663653584394,12.84069976112199
deeptime_vamp_kmeans,5,24,1,3,True,5.016666666666538,2.674104211382334,2.9999999999998863,8.049999999999727,1.990632885552441,8.042700447780636,19.96979571439296,3.6622272712229145,16.207750064287332,23.523292150890757,15.825595428679648,24.11399600010627
deeptime_vamp_kmeans,5,24,3,3,True,6.333333333333409,1.527525231652108,4.999999999999886,8.000000000000227,4.6047758101043605,8.061890856562458,20.694358619443204,1.3815117675392838,19.101946333199344,21.572675034847084,19.13103088532342,22.25768635356299
deeptime_vamp_kmeans,5,8,1,3,True,11.166666666666705,5.033222956847136,6.500000000000057,16.5,5.471038713773592,16.86229461955982,4.2026315041168445,0.36755079160521986,3.7852182416933653,4.477807757520713,3.7867086291075425,4.618554379126147
deeptime_vamp_kmeans,5,8,3,3,True,14.833333333333295,5.346338310781846,11.499999999999943,21.0,8.783382002032226,20.883284664634363,4.470020207956197,0.663325009631947,3.7238648193574737,4.99289499986442,3.7193972971286144,5.22064311878378
deeptime_vamp_kmeans_overall,,,,36,True,8.084722222222222,5.199571678025071,2.0000000000002274,24.999999999999886,6.386195474067366,9.783248970377079,11.628412165477203,6.73915657197857,1.8944364880517233,24.040594169315625,9.426954351964204,13.829869978990201
direct_raw_kmeans,,16,,3,True,12.199999999999969,0.5000000000000568,11.699999999999932,12.700000000000045,11.634196736194072,12.765803263805866,3.6965163033695485,0.03405949242859892,3.6645322379668084,3.732327864186611,3.657974359410206,3.735058247328891
pure_reference,,16,1,3,True,15.166666666666705,1.607275126832224,14.0,17.000000000000114,13.347863641475492,16.98546969185792,4.150670295229299,0.14804049853693005,3.9902512662304317,4.282019721327779,3.9831467007340233,4.318193889724574
raw_compound_m1,,,,3,True,1.8666666666662575,1.5275252316519468,0.19999999999959073,3.1999999999995907,0.13810914343739156,3.5952241898951236,257.7694700492952,26.74269659084572,228.03424764420498,279.85055699796277,227.5072600211559,288.0316800774345
